Faculty Name,Citation Link
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:K4-iKlO5MD4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:-6RzNnnwWf8C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:oPLKW5k6eA4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:OzeSX8-yOCQC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:qe6vwMD2xtsC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=400&pagesize=100&citation_for_view=QU2O6JMAAAAJ:X9ykpCP0fEIC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:j5aT6aphRxQC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:4DMP91E08xMC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:eI34FqJmdUoC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=20&pagesize=80&citation_for_view=QU2O6JMAAAAJ:buQ7SEKw-1sC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:BJrgspguQaEC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:QsKbpXNoaWkC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=200&pagesize=100&citation_for_view=QU2O6JMAAAAJ:IUKN3-7HHlwC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:sJPMR1oEGYQC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=100&pagesize=100&citation_for_view=QU2O6JMAAAAJ:IWHjjKOFINEC
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&cstart=300&pagesize=100&citation_for_view=QU2O6JMAAAAJ:DquSII9TDu4C
R. Balasubramanian,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=QU2O6JMAAAAJ&citation_for_view=QU2O6JMAAAAJ:Ade32sEp0pkC
